protocol,key_bits,plaintext_bytes,seed,enc_ms,dec_ms,classical_security,post_grover_security
AES-256,256,512,7,0.0126,0.0102,256,128
AES-256,256,512,8,0.0127,0.0095,256,128
AES-256,256,512,9,0.0121,0.0097,256,128
AES-256,256,512,10,0.0121,0.0097,256,128
AES-256,256,512,11,0.0127,0.0095,256,128
AES-256,256,512,12,0.0122,0.0098,256,128
AES-256,256,512,13,0.0123,0.0099,256,128
AES-256,256,512,14,0.0122,0.0101,256,128
AES-256,256,512,15,0.0125,0.0098,256,128
AES-256,256,512,16,0.0132,0.0097,256,128
AES-256,256,512,17,0.017,0.0101,256,128
AES-256,256,512,18,0.0122,0.01,256,128
AES-256,256,512,19,0.0119,0.0095,256,128
AES-256,256,512,20,0.0122,0.0096,256,128
AES-256,256,512,21,0.0121,0.0096,256,128
AES-256,256,512,22,0.0319,0.0129,256,128
AES-256,256,512,23,0.0166,0.0134,256,128
AES-256,256,512,24,0.0165,0.0136,256,128
AES-256,256,512,25,0.0164,0.0129,256,128
AES-256,256,512,26,0.016,0.0125,256,128
AES-256,256,512,27,0.0159,0.0125,256,128
AES-256,256,512,28,0.0161,0.0126,256,128
AES-256,256,512,29,0.0163,0.0126,256,128
AES-256,256,512,30,0.0168,0.0126,256,128
AES-256,256,512,31,0.0159,0.0125,256,128
AES-256,256,512,32,0.0169,0.0129,256,128
AES-256,256,512,33,0.0165,0.0127,256,128
AES-256,256,512,34,0.0167,0.0127,256,128
AES-256,256,512,35,0.0156,0.013,256,128
AES-256,256,512,36,0.0171,0.0126,256,128
AES-256,256,512,37,0.016,0.0125,256,128
AES-256,256,512,38,0.0159,0.0127,256,128
AES-256,256,512,39,0.0201,0.0132,256,128
AES-256,256,512,40,0.0164,0.0125,256,128
AES-256,256,512,41,0.0161,0.0128,256,128
AES-256,256,512,42,0.0157,0.0125,256,128
AES-256,256,512,43,0.0159,0.0126,256,128
AES-256,256,512,44,0.0285,0.0095,256,128
AES-256,256,512,45,0.0118,0.0094,256,128
AES-256,256,512,46,0.0118,0.0093,256,128
AES-256,256,512,47,0.0117,0.0094,256,128
AES-256,256,512,48,0.0117,0.0094,256,128
AES-256,256,512,49,0.0118,0.0093,256,128
AES-128,128,1024,0,0.0299,0.0115,128,64
AES-128,128,1024,1,0.0135,0.0099,128,64
AES-128,128,1024,2,0.0126,0.0099,128,64
AES-128,128,1024,3,0.0123,0.0095,128,64
AES-128,128,1024,4,0.0122,0.0095,128,64
AES-128,128,1024,5,0.0122,0.0095,128,64
AES-128,128,1024,6,0.0123,0.0095,128,64
AES-128,128,1024,7,0.0121,0.0097,128,64
AES-128,128,1024,8,0.0123,0.0094,128,64
AES-128,128,1024,9,0.0121,0.0094,128,64
AES-128,128,1024,10,0.0152,0.0101,128,64
AES-128,128,1024,11,0.0125,0.0096,128,64
AES-128,128,1024,12,0.0122,0.0097,128,64
AES-128,128,1024,13,0.0123,0.0095,128,64
AES-128,128,1024,14,0.0123,0.0094,128,64
AES-128,128,1024,15,0.0122,0.0094,128,64
AES-128,128,1024,16,0.0122,0.0095,128,64
AES-128,128,1024,17,0.0125,0.0095,128,64
AES-128,128,1024,18,0.0124,0.0094,128,64
AES-128,128,1024,19,0.0122,0.0092,128,64
AES-128,128,1024,20,0.012,0.0093,128,64
AES-128,128,1024,21,0.0121,0.0095,128,64
AES-128,128,1024,22,0.0121,0.0094,128,64
AES-128,128,1024,23,0.0121,0.0094,128,64
AES-128,128,1024,24,0.0121,0.0093,128,64
AES-128,128,1024,25,0.012,0.0093,128,64
AES-128,128,1024,26,0.012,0.0096,128,64
AES-128,128,1024,27,0.0121,0.0093,128,64
AES-128,128,1024,28,0.0123,0.0093,128,64
AES-128,128,1024,29,0.0121,0.0093,128,64
AES-128,128,1024,30,0.0122,0.0093,128,64
AES-128,128,1024,31,0.0121,0.0095,128,64
AES-128,128,1024,32,0.0123,0.0093,128,64
AES-128,128,1024,33,0.0125,0.0092,128,64
AES-128,128,1024,34,0.0124,0.0093,128,64
AES-128,128,1024,35,0.0122,0.0094,128,64
AES-128,128,1024,36,0.0122,0.0094,128,64
AES-128,128,1024,37,0.0121,0.0094,128,64
AES-128,128,1024,38,0.0126,0.0094,128,64
AES-128,128,1024,39,0.0193,0.0114,128,64
AES-128,128,1024,40,0.0123,0.0095,128,64
AES-128,128,1024,41,0.0123,0.0093,128,64
AES-128,128,1024,42,0.0122,0.0093,128,64
AES-128,128,1024,43,0.012,0.0094,128,64
AES-128,128,1024,44,0.012,0.0094,128,64
AES-128,128,1024,45,0.0122,0.0094,128,64
AES-128,128,1024,46,0.012,0.0092,128,64
AES-128,128,1024,47,0.0127,0.0096,128,64
AES-128,128,1024,48,0.0125,0.0092,128,64
AES-128,128,1024,49,0.0119,0.0094,128,64
AES-256,256,1024,0,0.0281,0.0114,256,128
AES-256,256,1024,1,0.0134,0.0099,256,128
AES-256,256,1024,2,0.0128,0.0096,256,128
AES-256,256,1024,3,0.0125,0.0095,256,128
AES-256,256,1024,4,0.0125,0.0094,256,128
AES-256,256,1024,5,0.0125,0.0095,256,128
AES-256,256,1024,6,0.0121,0.0096,256,128
AES-256,256,1024,7,0.0123,0.0096,256,128
AES-256,256,1024,8,0.0122,0.0093,256,128
AES-256,256,1024,9,0.0123,0.0095,256,128
AES-256,256,1024,10,0.0122,0.0095,256,128
AES-256,256,1024,11,0.0122,0.0095,256,128
AES-256,256,1024,12,0.0122,0.0094,256,128
AES-256,256,1024,13,0.0122,0.0204,256,128
AES-256,256,1024,14,0.0126,0.0095,256,128
AES-256,256,1024,15,0.0123,0.0096,256,128
AES-256,256,1024,16,0.0122,0.0095,256,128
AES-256,256,1024,17,0.0121,0.0094,256,128
AES-256,256,1024,18,0.0125,0.0095,256,128
AES-256,256,1024,19,0.0126,0.0096,256,128
AES-256,256,1024,20,0.0121,0.0095,256,128
AES-256,256,1024,21,0.0122,0.0093,256,128
AES-256,256,1024,22,0.0123,0.0096,256,128
AES-256,256,1024,23,0.0124,0.0097,256,128
AES-256,256,1024,24,0.0123,0.0095,256,128
AES-256,256,1024,25,0.0122,0.0096,256,128
AES-256,256,1024,26,0.0123,0.0094,256,128
AES-256,256,1024,27,0.0122,0.0096,256,128
AES-256,256,1024,28,0.0124,0.0094,256,128
AES-256,256,1024,29,0.0123,0.0094,256,128
AES-256,256,1024,30,0.0122,0.0094,256,128
AES-256,256,1024,31,0.0122,0.0095,256,128
AES-256,256,1024,32,0.0122,0.0095,256,128
AES-256,256,1024,33,0.0122,0.0094,256,128
AES-256,256,1024,34,0.0122,0.0095,256,128
AES-256,256,1024,35,0.0119,0.0095,256,128
AES-256,256,1024,36,0.0121,0.0095,256,128
AES-256,256,1024,37,0.012,0.0095,256,128
AES-256,256,1024,38,0.0123,0.0093,256,128
AES-256,256,1024,39,0.0122,0.0096,256,128
AES-256,256,1024,40,0.0122,0.0094,256,128
AES-256,256,1024,41,0.0122,0.0095,256,128
AES-256,256,1024,42,0.0122,0.0094,256,128
AES-256,256,1024,43,0.1946,0.0258,256,128
AES-256,256,1024,44,0.024,0.0194,256,128
AES-256,256,1024,45,0.0247,0.0191,256,128
AES-256,256,1024,46,0.0246,0.0141,256,128
AES-256,256,1024,47,0.0162,0.0125,256,128
AES-256,256,1024,48,0.0159,0.0125,256,128
AES-256,256,1024,49,0.0158,0.0124,256,128
